date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:52:51	16471/16471	---MCZ	200	added ('OK')	text/css	etag:W/%2268427f5c-4057%22	https://researchpark.illinois.edu/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://researchpark.illinois.edu/)
11:52:51	5486/5486	---MCZ	200	added ('OK')	text/css	etag:W/%2268427f5c-156e%22	https://researchpark.illinois.edu/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.29.2	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min2801.css	(from https://researchpark.illinois.edu/)
11:52:52	2386/2386	---MCZ	200	added ('OK')	text/css	etag:W/%2268428341-952%22	https://researchpark.illinois.edu/wp-content/plugins/elementor-pro/assets/css/widget-slides.min.css?ver=3.29.2	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementor-pro/assets/css/widget-slides.min2801.css	(from https://researchpark.illinois.edu/)
11:52:52	11633/11633	---MCZ	200	added ('OK')	text/css	etag:W/%2268428341-2d71%22	https://researchpark.illinois.edu/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action.min.css?ver=3.29.2	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementor-pro/assets/css/widget-call-to-action.min2801.css	(from https://researchpark.illinois.edu/)
11:52:52	7256/7256	---MCZ	200	added ('OK')	text/css	etag:W/%2268428341-1c58%22	https://researchpark.illinois.edu/wp-content/plugins/elementor-pro/assets/css/conditionals/transitions.min.css?ver=3.29.2	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementor-pro/assets/css/conditionals/transitions.min2801.css	(from https://researchpark.illinois.edu/)
11:52:52	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2268427f5c-e7d0%22	https://researchpark.illinois.edu/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=4.11.14	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min0c32.css	(from https://researchpark.illinois.edu/)
11:52:52	3993/3993	---MCZ	200	added ('OK')	text/css	etag:W/%2268550318-f99%22	https://researchpark.illinois.edu/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/load-animations.min.css?ver=4.11.14	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/load-animations.min0c32.css	(from https://researchpark.illinois.edu/)
11:52:53	6112/6112	---MCZ	200	added ('OK')	text/css	etag:W/%2268550318-17e0%22	https://researchpark.illinois.edu/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/slick.min.css?ver=4.11.14	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/premium-addons-for-elementor/assets/frontend/min-css/slick.min0c32.css	(from https://researchpark.illinois.edu/)
11:52:53	90524/90524	---MCZ	200	added ('OK')	text/css	etag:W/%22684287d0-1619c%22	https://researchpark.illinois.edu/wp-content/uploads/elementor/css/post-31297.css?ver=1750447227	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/uploads/elementor/css/post-31297c5c6.css	(from https://researchpark.illinois.edu/)
11:52:53	52573/52573	---MCZ	200	added ('OK')	text/css	etag:W/%226842879d-cd5d%22	https://researchpark.illinois.edu/wp-content/uploads/elementor/css/post-26964.css?ver=1749190557	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/uploads/elementor/css/post-269641222.css	(from https://researchpark.illinois.edu/)
11:52:53	47718/47718	---MCZ	200	added ('OK')	text/css	etag:W/%226842879d-ba66%22	https://researchpark.illinois.edu/wp-content/uploads/elementor/css/post-26965.css?ver=1749190557	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/uploads/elementor/css/post-269651222.css	(from https://researchpark.illinois.edu/)
11:52:54	461827/461827	---MCZ	200	added ('OK')	text/css	etag:W/%22684fa5e0-70c03%22	https://researchpark.illinois.edu/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles.css?ver=3.5.3	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementskit-lite/widgets/init/assets/css/widget-styles1aae.css	(from https://researchpark.illinois.edu/)
11:52:54	30347/30347	---MCZ	200	added ('OK')	text/css	etag:W/%22684fa5e0-768b%22	https://researchpark.illinois.edu/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive.css?ver=3.5.3	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/elementskit-lite/widgets/init/assets/css/responsive1aae.css	(from https://researchpark.illinois.edu/)
11:52:54	7418/7418	---MCZ	200	added ('OK')	text/css	etag:W/%2268564e7e-1cfa%22	https://researchpark.illinois.edu/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.1.19	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min6e11.css	(from https://researchpark.illinois.edu/)
11:52:54	32070/32070	---MCZ	200	added ('OK')	text/css	etag:W/%226855036d-7d46%22	https://researchpark.illinois.edu/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/wpr-animations.min.css?ver=1.7.1026	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/wpr-animations.minc96f.css	(from https://researchpark.illinois.edu/)
11:52:54	4724/4724	---MCZ	200	added ('OK')	text/css	etag:W/%226855036d-1274%22	https://researchpark.illinois.edu/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/wpr-link-animations.min.css?ver=1.7.1026	D:/UIUC_Research_Park/researchpark.illinois.edu/wp-content/plugins/royal-elementor-addons/assets/css/lib/animations/wpr-link-animations.minc96f.css	(from https://researchpark.illinois.edu/)
